,,baseline,baseline
,,MAE,RMSE
baseline,ID,,
NP_offset_4.0,6,1.0685871839523315,1.323249124318764
NP_offset_4.0,7,1.0685871839523315,1.323249124318764
NP_offset_4.0,8,1.0685871839523315,1.323249124318764
NP_offset_4.0,9,1.0685871839523315,1.323249124318764
NP_offset_5.0,0,1.0685874223709106,1.323249124318764
NP_offset_5.0,1,1.0685874223709106,1.323249124318764
NP_offset_5.0,2,1.0685874223709106,1.323249124318764
NP_offset_5.0,3,1.0685874223709106,1.323249124318764
NP_offset_5.0,4,1.0685874223709106,1.323249124318764
NP_offset_5.0,5,1.0685874223709106,1.323249124318764
NP_offset_5.0,6,1.0685874223709106,1.323249124318764
NP_offset_5.0,7,1.0685874223709106,1.323249124318764
NP_offset_5.0,8,1.0685874223709106,1.323249124318764
NP_offset_5.0,9,1.0685874223709106,1.323249124318764
NP_offset_6.0,0,1.0685877799987793,1.3232490342304417
NP_offset_6.0,1,1.0685877799987793,1.3232490342304417
NP_offset_6.0,2,1.0685877799987793,1.3232490342304417
NP_offset_6.0,3,1.0685877799987793,1.3232490342304417
NP_offset_6.0,4,1.0685877799987793,1.3232490342304417
NP_offset_6.0,5,1.0685877799987793,1.3232490342304417
NP_offset_6.0,6,1.0685877799987793,1.3232490342304417
NP_offset_6.0,7,1.0685877799987793,1.3232490342304417
NP_offset_6.0,8,1.0685877799987793,1.3232490342304417
NP_offset_6.0,9,1.0685877799987793,1.3232490342304417
NP_offset_7.0,0,1.0685878992080688,1.323249259451236
NP_offset_7.0,1,1.0685878992080688,1.323249259451236
NP_offset_7.0,2,1.0685878992080688,1.323249259451236
NP_offset_7.0,3,1.0685878992080688,1.323249259451236
NP_offset_7.0,4,1.0685878992080688,1.323249259451236
NP_offset_7.0,5,1.0685878992080688,1.323249259451236
NP_offset_7.0,6,1.0685878992080688,1.323249259451236
NP_offset_7.0,7,1.0685878992080688,1.323249259451236
NP_offset_7.0,8,1.0685878992080688,1.323249259451236
NP_offset_7.0,9,1.0685878992080688,1.323249259451236
NP_offset_8.0,0,1.068587064743042,1.3232485837887382
NP_offset_8.0,1,1.068587064743042,1.3232485837887382
NP_offset_8.0,2,1.068587064743042,1.3232485837887382
NP_offset_8.0,3,1.068587064743042,1.3232485837887382
NP_offset_8.0,4,1.068587064743042,1.3232485837887382
NP_offset_8.0,5,1.068587064743042,1.3232485837887382
NP_offset_8.0,6,1.068587064743042,1.3232485837887382
NP_offset_8.0,7,1.068587064743042,1.3232485837887382
NP_offset_8.0,8,1.068587064743042,1.3232485837887382
NP_offset_8.0,9,1.068587064743042,1.3232485837887382
NP_offset_9.0,0,1.0685874223709106,1.323249169362923
NP_offset_9.0,1,1.0685874223709106,1.323249169362923
NP_offset_9.0,2,1.0685874223709106,1.323249169362923
NP_offset_9.0,3,1.0685874223709106,1.323249169362923
NP_offset_9.0,4,1.0685874223709106,1.323249169362923
NP_offset_9.0,5,1.0685874223709106,1.323249169362923
NP_offset_9.0,6,1.0685874223709106,1.323249169362923
NP_offset_9.0,7,1.0685874223709106,1.323249169362923
NP_offset_9.0,8,1.0685874223709106,1.323249169362923
NP_offset_9.0,9,1.0685874223709106,1.323249169362923
NP_structural_break_1.0,0,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,1,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,2,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,3,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,4,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,5,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,6,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,7,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,8,0.9879958629608154,1.2694220393230407
NP_structural_break_1.0,9,0.9879958629608154,1.2694220393230407
NP_structural_break_10.0,0,0.8668441772460938,1.3470766894507742
NP_structural_break_10.0,1,0.8668441772460938,1.3470766894507742
NP_structural_break_10.0,2,0.8668441772460938,1.3470766894507742
