,,baseline,baseline
,,MAE,RMSE
baseline,ID,,
NP_heteroscedasticity_9.0,7,1.230772852897644,1.7300140954694765
NP_heteroscedasticity_9.0,8,0.5245739817619324,0.7179287074299414
NP_heteroscedasticity_9.0,9,0.5119591355323792,0.6903125280446728
NP_trend_8.0,0,0.7972144484519958,1.0022290539549787
NP_trend_8.0,1,0.7976839542388916,1.0021987227360754
NP_trend_8.0,2,0.8088088631629944,1.0134662868047195
NP_trend_8.0,3,0.784340500831604,0.9757180797448883
NP_trend_8.0,4,0.7939237952232361,0.9912245575669079
NP_trend_8.0,5,0.8122354745864868,1.0120812433147144
NP_trend_8.0,6,0.7857867479324341,0.9783457534354755
NP_trend_8.0,7,0.8090923428535461,1.0068727000024953
NP_trend_8.0,8,0.7841173410415649,0.988266564060303
NP_trend_8.0,9,0.8261213302612305,1.028783333517611
NP_heteroscedasticity_3.0,0,0.5638506412506104,0.7440177836112954
NP_heteroscedasticity_3.0,1,0.6915203928947449,0.9151173886838583
NP_heteroscedasticity_3.0,2,0.6406564116477966,0.8431546972203999
NP_heteroscedasticity_3.0,3,1.0735710859298706,1.4525580171695065
NP_heteroscedasticity_3.0,4,0.4023772180080414,0.5114228069866493
NP_heteroscedasticity_3.0,5,1.0993547439575195,1.4897766610269476
NP_heteroscedasticity_3.0,6,0.7166922092437744,0.9437499886316968
NP_heteroscedasticity_3.0,7,1.0916355848312378,1.486455403115428
NP_heteroscedasticity_3.0,8,0.6105797290802002,0.8076700287844836
NP_heteroscedasticity_3.0,9,0.6172608137130737,0.8057890823927467
NP_offset_1.0,0,0.7972171902656555,1.0022313733633488
NP_offset_1.0,1,0.797684907913208,1.0021997932653113
NP_offset_1.0,2,0.8088077902793884,1.0134664044300261
NP_offset_1.0,3,0.7843400239944458,0.9757171023367477
NP_offset_1.0,4,0.7939229607582092,0.9912237758462757
NP_offset_1.0,5,0.8122368454933167,1.0120821267114646
NP_offset_1.0,6,0.785788357257843,0.9783466977555637
NP_offset_1.0,7,0.8090928792953491,1.006873291980282
NP_offset_1.0,8,0.7841183543205261,0.9882664132795028
NP_offset_1.0,9,0.8261221051216125,1.0287835652656814
NP_amplitude_1.0,0,0.4511355459690094,0.567151099474054
NP_amplitude_1.0,1,0.6944420337677002,0.8724874799425807
NP_amplitude_1.0,2,0.5856068730354309,0.7337870577758665
NP_amplitude_1.0,3,1.4006885290145874,1.7424528321897284
NP_amplitude_1.0,4,0.1607590764760971,0.2007108423895713
NP_amplitude_1.0,5,1.4455761909484863,1.801250934375571
NP_amplitude_1.0,6,0.7578657865524292,0.9435819754171456
NP_amplitude_1.0,7,1.4305344820022583,1.7802262961737136
NP_amplitude_1.0,8,0.5553423166275024,0.6999271789206752
NP_amplitude_1.0,9,0.5281909704208374,0.6577655684884341
NP_trend_7.0,0,0.7972160577774048,1.0022294702594403
NP_trend_7.0,1,0.7976836562156677,1.0021991390531364
NP_trend_7.0,2,0.8088086247444153,1.0134656398652897
NP_trend_7.0,3,0.7843404412269592,0.9757193320476376
NP_trend_7.0,4,0.7939222455024719,0.9912241667066689
NP_trend_7.0,5,0.8122360706329346,1.0120811255284228
NP_trend_7.0,6,0.78578782081604,0.9783464235982127
NP_trend_7.0,7,0.8090907335281372,1.006871338452265
NP_trend_7.0,8,0.7841179370880127,0.9882670465587089
NP_trend_7.0,9,0.8261207938194275,1.0287826962101487
NP_offset_0.0,0,0.7972143888473511,1.0022290539549787
NP_offset_0.0,1,0.7976830005645752,1.0021983658927425
NP_offset_0.0,2,0.8088089823722839,1.013466522055319
NP_offset_0.0,3,0.7843414545059204,0.9757183851847314
NP_offset_0.0,4,0.7939229607582092,0.9912237758462757
NP_offset_0.0,5,0.8122342824935913,1.012079535412144
NP_offset_0.0,6,0.7857884168624878,0.978347367917654
NP_offset_0.0,7,0.8090910315513611,1.0068710424628406
NP_offset_0.0,8,0.7841178774833679,0.9882677099936324
NP_offset_0.0,9,0.8261216878890991,1.028783333517611
NP_trend_5.0,0,0.7972144484519958,1.0022299460357562
